origin,Bremen,Dresden,Madrid,Marseille,Milan,Naples,Paris,Rotterdam,Saarbrücken,Salzburg,Warsaw
Bremen,0,0.226488916,0.019685381,0.011264611,0.055466412,0.005066221,0.024444586,0.268843366,0.265751288,0.051607543,0.071381676
Dresden,0.386896598,0,0.012652917,0.006434633,0.042278456,0.005156097,0.010527152,0.088431137,0.123778343,0.221567346,0.102277321
Madrid,0.083250096,0.043058826,0,0.225534404,0.111987134,0.019581204,0.166885214,0.164048608,0.108513611,0.036717866,0.040423037
Marseille,0.040934939,0.014536314,0.21623235,0,0.125099105,0.008913184,0.330641677,0.143076771,0.084032646,0.020545627,0.015987387
Milan,0.0627822,0.02816192,0.030170557,0.035787966,0,0.620518589,0.03112967,0.03599236,0.07034325,0.064306312,0.020807176
Naples,0.008635875,0.004711574,0.007317137,0.004125942,0.948017722,0,0.003057112,0.004772483,0.007185154,0.008179668,0.003997332
Paris,0.046140314,0.012826601,0.085548311,0.225055286,0.052764765,0.003460028,0,0.390928305,0.156933154,0.015740478,0.010602757
Rotterdam,0.26160718,0.060043726,0.042085334,0.055157679,0.039784429,0.004464953,0.264391415,0,0.177586024,0.055052934,0.039826326
Saarbrücken,0.234742924,0.066465796,0.028135081,0.027364913,0.075373622,0.004658269,0.063319538,0.172000465,0,0.289106382,0.038833009
Salzburg,0.060667093,0.188678997,0.011044329,0.009763008,0.130826599,0.010049441,0.013787849,0.075029511,0.455873094,0,0.044280079
Warsaw,0.274088646,0.247419009,0.022500267,0.015846956,0.053210515,0.007670666,0.023911783,0.10568305,0.136515684,0.113153425,0
